kingsnows1759	0.8532777,0.39504713
atompkins	0.33345455,0.030447638
sempervigilio	0.081041165,0.6605454
tory_foster	0.54060924,0.8160099
kaidinn	0.70669746,0.41220346
spongebobruind	1.1561949,-1.7856832
jayveraa	0.21009159,0.8960905
joe_minardi	0.79153186,0.5059616
live4rmmars	1.2859794,0.2252026
jorqe_gomez	0.8331824,0.5384915
justinweather	0.42815492,0.7024847
artoflistening3	0.9947491,0.4215804
awakedeborah	0.0073816446,0.5436098
mrswildcat002	0.545747,0.83549345
presbo	0.054686856,0.5160388
marlenawells	0.78620934,-0.09191783
versace_pilgrim	0.87864316,-0.47232667
linda_lev	0.42112404,0.78083783
catydoodle	-0.25680158,0.6753323
irlbabes	1.1770622,-1.8059969
gdmacri	0.07181455,0.33343628
beny_miku	0.6717141,1.1746418
katinarankin	1.1820337,0.84032106
marylandkathy	0.22006239,0.14685327
ari_ari_arianna	0.8133182,0.37651068
e9406bdb3df648d	0.51983064,0.86520463
sophiegeeking	1.2918078,0.42802176
jpaulsen34	0.32366383,0.58596194
gnudarwin	0.31602973,0.15423226
ginyu_farce	0.13804677,0.87852544
halifax86	0.57222784,0.7147639
atmasterat	1.2509288,0.2046803
brianev62314248	0.33782783,0.33673802
professorx10	1.2022264,0.13239157
_m_pulse	1.1407973,1.1071969
bryaustin21	0.4021614,-0.27081013
brianfromabc2	0.01751537,1.4018426
mobowucadymi	0.7870598,0.5686037
cobyd7	0.5355936,0.82963145
jamespomeroy8	0.68978935,0.35588285
_firebreather__	0.534781,0.864757
lexxii_jade	0.8617026,0.41591686
rafaeltmoros	0.5175209,0.5606179
lelegiggles	1.1499859,1.0961481
iam2fat4u	0.9992406,-0.24606787
map19	0.18050726,0.6105726
james_mainevent	0.19545646,0.7239938
_poeia	1.2912146,-0.10719158
ttank66	1.2941672,0.4021624
mikewelborn	0.4584596,0.42930734
skyhiigh_	0.80066276,0.3911453
shadow__creeper	0.6810349,1.2171843
chris_1791	0.10445132,0.587428
cigardaveshow	-0.09666718,0.73905843
ryanmather6060	0.33782783,0.33673802
goldenkrant	0.55261606,0.26833892
tinagiam	0.3154291,0.83328193
douglasstalker	-0.36306587,0.7818142
silenthooper	1.1730962,-1.8505479
godbodyshotty	0.9904067,-0.25567943
jayne720	0.086434126,0.5983551
jahnvibhakta	0.8931922,0.6125196
angeliquerene	-0.16868366,0.8935154
billwickens	0.05603871,0.80933183
brainfreeze69	0.54337347,0.5087548
haqipivofin	0.83811,0.56570196
scottpresler	0.023380246,0.67278266
taniastephania	0.8531887,0.39709625
yungquezz	1.2250726,1.6095085
bestoftheleft	1.4691181,0.41850495
ceejaycraig	0.21198939,0.40743268
gunnettep	0.07758365,0.62245274
michelle__news	0.014876523,-0.26391804
ghostvlbes	1.1186367,-1.7778264
marruhda	1.1713672,1.6146419
realphilbowdry	1.1772822,1.5915256
65vercingetorix	0.070203826,0.18286939
hockeymom9598	0.14318572,0.83904654
jason_chevota14	0.5249346,0.90434575
pelaelojo	0.5987759,0.86279494
pie0326edie	0.22076555,0.51108646
revolp	0.6439947,0.23175813
dc37deborah	-0.08470547,0.73868346
selfapproved_	0.31602955,0.15423235
viv62109725	-0.14045314,0.7147942
jordan_garzaa	0.37370723,-0.2471537
sober297	-0.36306587,0.7818142
lazerwolf909	-0.395374,0.46744326
harrietbaldwin	0.010119247,0.64260894
ihavetosayit456	1.003515,0.3472235
vincentdumont12	-0.25826812,0.1691832
mrkisiele614	0.77088046,-0.08818124
tinaquenette2	0.38286102,0.34969148
saidmose	0.5473636,0.24689582
savirose64	0.23116775,0.5808433
mamadoxie	0.13272071,0.68463755
whitetrapgod	1.1861782,-1.8174139
oscarrgaleano	0.0128232725,1.1666436
chinadoll4140	0.5248031,0.83386457
jiletavepig	0.8326155,0.5871415
coqueettishjpg	1.0912915,-1.8848772
kellyfromabc2	0.0972626,1.2060039
colihigisiw	0.81385314,0.5745033
alesmacc	0.53425324,0.864716
riosjose559	0.49132845,0.25231862
stephenbrandt1	0.042113263,0.3938986
ropercoast	0.09563967,0.73485744
thesteve12	0.27317536,0.29247278
jcxiv_	0.65056294,1.1873704
phenryburgesses	0.16649468,0.61027753
apollojunkie	0.31636962,0.2640246
foxrocks2012	0.039991762,0.46309185
sir_coco_	1.0139014,-0.023545053
hardr1ver	0.26218942,0.59301805
xejexoxuqeme	0.7699972,0.6092791
mjoemal19	0.6036434,0.82652116
pariscelso	0.56828314,0.8923564
supetatywyf	0.7870598,0.5686037
shabbirghewalla	1.2786696,0.7221644
radiopatriot	0.18298987,0.7918291
uncletors	0.30058008,0.6367971
_nickmartinez__	0.3344294,1.2190977
bethechange41	0.22980884,0.34189153
timodonnell14	0.0036386445,0.52981335
watchthephone	1.6106436,0.2636905
josereyesxx	0.46050546,0.53239393
young_meaky	0.39207843,0.15541494
bigfaces_06	0.33190128,0.5731218
awaisafzalch	0.16576436,0.74997485
rent_hot	0.6299369,0.6830902
bruceleshan	0.14252327,0.40061712
mangekyogod	1.0785049,-1.8164085
pedropabloglez	0.5469398,0.5227393
diaryofadouche	1.103389,-1.8993853
brianclark_205	0.8698951,0.6011565
daianafzeferino	0.5066429,1.057099
kathykoppin	0.12576532,0.66661304
ensouied	0.38991222,-0.27095577
engmamunr	0.30327368,0.34560317
ed_edduffey	0.05016383,0.38634065
michellestripe	0.39590266,-0.25198078
johnnielj	0.6221294,0.49199584
sheeitdawg	0.010929168,0.49177137
longlivedonron	0.33922693,0.6289237
kenzhitch11	0.49902686,0.89771193
incrdblshort	-0.5131638,1.3641609
jlopez3_ovo	0.3026706,0.28917792
empirenewswatch	0.5473638,0.2468959
davidromeiphd	1.2016724,0.41767663
jdschul	-0.12449765,0.7331339
celesteherget	0.015575565,0.5995707
deekoda	1.2458738,0.19168451
benallaroundd	1.2387162,0.14495707
chae1738	0.49666905,0.8402717
whirchunk	1.5812603,0.41636395
rnrmaryland	0.06369551,0.39405286
kenny_morgan	0.8495523,0.38084888
onestrangenigga	1.1358513,-1.897292
laughin2damhard	0.50907433,0.22671883
highstruggles	1.1226592,-1.8843789
courtchatter	0.39894038,0.6200243
cheyenne6698	0.547157,0.875938
ladygreenx	0.23649119,1.0380161
vusipamanuq	0.8485732,0.607462
dynamiccrewppl	0.7883958,0.4953533
mitraz7	1.2705382,0.42008692
jason_howerton	-0.026172796,1.0078037
roastbible	1.1053065,-1.848079
vektorbk	-0.029444547,0.6924874
fuckstatefarm	0.6331202,0.23946394
daeron021	-0.27440208,0.15618359
childishvines	1.1691352,-1.7895421
carlyspecht	0.5546646,0.4041537
antihussein	0.36715743,0.66619253
joshdamage	0.79628193,0.34613696
barlips1	0.8964035,0.62443906
jones_junction	0.46706325,0.8581106
debpearsontx	0.02742848,0.7386774
bugsact	0.48420408,0.5579472
1998e119a95c4f6	0.5917387,0.8357866
foxbusiness	0.49879947,0.54161406
nsaidian	0.2206082,0.895874
ewsteyn	0.02643024,0.48961923
pyschxlogical	0.8732157,0.5875758
bremmore	0.20900975,0.15493995
iamleasure	0.34397414,0.3227067
lauritacapde	0.8086,0.36327395
javawdc_sforza	0.53880084,0.90288234
friedrichsgroup	0.5665884,0.5740156
granddaddyramon	1.1032052,-1.8744879
lnthefeeis	1.1256881,-1.7922122
isys_dad	0.5062294,0.8323051
kevindubouis	1.2645358,0.18618399
teriannebyers	0.45399064,0.7470812
jycivewewat	0.8748467,0.6389452
ggdove	0.22865221,0.8038793
maitecalderon	0.547157,0.8759385
s_gladkov	0.8842173,0.5998599
olskool752	0.5704587,0.8574507
raed0ahmed	1.2284276,0.5503037
cibertecnico71	0.81944686,0.4147373
bill_bocqugates	-0.28455165,0.14612539
pamplinfilmco	0.57409495,0.8731255
bahekymykif	0.8097079,0.6212292
belczx	0.9362721,0.6512722
amymek	0.13171816,0.71558976
wllwdavis2	0.9093179,0.62779796
longlivealyssa	0.6183875,0.66378564
3pointgrotto	0.14800055,0.7295208
kitoconnell	1.0134933,0.3550669
llazzaro_lucia	0.8931923,0.6125197
decepticrat_	1.1052763,1.0705649
ohio2aprepper	0.32369277,0.8690634
hotelchief	-0.001069824,0.9333508
jacob_kirby26	0.48106253,0.8575648
cmccafferty3	0.0447718,0.48428524
bigdaddytanna	1.2410566,0.18224616
ladylibertynj	0.198932,0.5055404
tuxy005	0.6475793,0.24791202
cwharlow	1.2917475,0.19727471
citizenanalyst	0.12637025,0.74091095
darensherif	1.2112079,1.6269835
pmritagirl	0.55649126,0.6679617
qonurarevysa	0.76995707,0.6091458
vapesarts	1.0648625,-1.8887583
ettyd	0.51625,0.492495
__yvngquan__	0.8855371,0.6486572
meliss4biggs	-0.6260168,0.8519962
escuchamiradio	0.45399058,0.7470813
markiafarmer	1.2251914,0.16769943
_young_chop	1.1980542,1.6173804
supreemteem	0.8219292,0.36790198
cdnrod	-0.16005823,0.9027898
kwill929	0.9992406,-0.24606787
basedweeb	0.76714826,-0.3345034
tjs0004	0.37194154,0.32729828
skedag	0.48097044,0.5728155
kittyssaloon	0.018607281,0.65938675
blackwealth_	1.2017488,1.5658474
ancapkatie	1.2387162,0.14495707
masonjar23	0.84448427,0.5493585
huachuca_city	0.96294993,0.70366603
wgnnews	0.36319965,0.48387158
roberthorg	1.0219679,0.42883834
thefive	0.20259702,0.6797886
_ruby_woo	1.1612585,1.0945027
morganbadazzz	1.0138873,-0.25948194
nonchalant_rob	1.2123338,1.6161435
erikwill	0.38827655,0.2937799
9b8220f339124dc	0.7931817,0.40356016
cheeto_jbe	1.1907243,-1.8067048
penelopesire	0.19373022,0.81252766
esp83	0.61839163,0.6637893
georgewhitejr	0.22279707,0.7664201
mshson	0.21688922,0.5412002
noprezzie2012	0.19612025,0.7454111
silly_elsa	0.05640578,0.59430146
tlw446	0.37372446,-0.24716185
mytinehnimjeh	1.384786,-0.22126748
sno_iris	0.68677455,1.1735351
dinofancellu	0.33857214,0.59264094
leannebell1	0.5843136,0.8614029
purepolitics	0.48192906,0.5961495
hakeem_followme	0.97876066,-0.28945994
sergiosamano	0.30327374,0.345603
rogsahl	0.53881204,0.90288335
leahr77	0.51507473,0.5723936
fashionniche	0.38991466,-0.27095354
guydlines_	1.0598834,-1.8153788
sarahgi00782242	0.44229934,0.53035504
imperfectvirtue	1.1394805,0.3675
nylezidybumo	0.7926854,0.65245944
thepatriot143	0.12393013,0.45186657
birrdytalk	0.0036386652,0.5298134
specialksworld	1.361276,0.792876
mathfaithworks	0.14106353,0.82450426
vmax_14	1.2695961,0.3707636
natesmess	0.3885849,0.2924292
magamymysof	0.79698396,0.63642716
burdettenos	0.31157202,0.3332678
pacsgirl36	0.38093194,0.7498545
luasol38	1.5202072,0.78236175
politcswatch	0.16528067,0.7100184
genessmile	0.09693243,0.6427084
rnroklahoma	0.059257388,0.7338609
ustweetsdistill	0.7847576,0.34765574
djmenj	0.01786436,0.47815377
veterans2011	0.07913643,0.6099537
anonphonemix	0.956711,0.099307224
chibarb	0.5231193,0.49376252
jonez79	0.1873758,0.7072197
shero4hire	1.6088678,1.0256778
libertyspeakz	0.017761154,0.7696673
thenstar40	0.094082505,0.8877226
chucknorisaurus	1.016622,0.41550115
blancs43	0.780631,0.49965066
_inode_n	1.1130728,1.1244189
lukeburk	0.43964943,0.6780653
elzromby	1.2375633,0.21249533
eschnelly	0.08048655,1.2316264
rodneyallebach	0.28695396,0.29124835
mikeinsouthfl	0.0073816516,0.5436098
rubixxq	1.2143321,1.5769278
icequebe_	0.9641246,-0.28973714
rossmcleansec	0.6818178,0.093903415
artmatters2me	0.6222217,0.23459625
manahawkinmikey	0.31874537,0.80270994
theapjournalist	0.5979813,-0.06905108
kyleraccio	0.0034644557,0.59270966
_itssalman	1.1604161,-1.8427622
rt_com	0.550505,0.27249086
morotomagipe	0.77371836,0.622509
vicwjz	0.3624683,0.24410552
kreyol_doll	1.1198674,1.0965786
crhallonquist	0.053446352,0.47203273
bl00db0rn	1.0197608,0.36631033
politibunny	0.15941362,0.60151947
msteinhour16	0.96584994,0.07016137
usavigilante01	0.05331288,0.65871125
nomoremurderz	0.22979881,0.34202936
scvriito	1.1635814,-1.9038956
retireleo	0.33493468,0.2953606
10pnix	0.506586,0.886564
kaosizhere	-0.19751209,0.4737629
kbrocking	0.2791489,0.28177255
lkvents	0.24118118,0.5591625
_meganbriii	0.3206372,0.29639122
kademehlhoff	0.6108904,0.2642408
troytheblackguy	1.1180475,-1.8236834
comedyworidstar	1.078505,-1.8164091
luisdanielgon20	0.5337488,0.50117856
whisper4life	0.9615103,0.40463024
boblack98	1.1848624,1.5796022
jeremygjohnson	0.49666905,0.8402717
thespiritof02	0.16712283,0.46827167
nouglythots	1.146853,-1.8668519
x__des	1.2543736,1.5772027
bamastephen	0.13212107,1.2291704
bagaar	0.89576334,0.5913017
recklessengel	0.56579417,0.8169537
curryformvp	0.96584994,0.07016137
curvedgawd	1.001661,-0.27456132
emotionalpeopie	1.1172085,-1.869805
dirifyhamud	0.80898404,0.650648
colormered	0.5491067,0.20806453
renee72956	0.2729161,0.9009601
xkgm_	1.0792367,-1.7924341
underdogque	1.3866699,0.61679906
zoitastic	0.5740932,0.87312573
amandathames	0.5905951,0.8744162
mrylvatoslocos	-0.26243123,0.13065407
qizubecojedi	0.769633,0.5945961
actionnewsmatt	0.65008134,0.119077444
facezus	1.0602366,0.3935966
schnowzerz	0.2919149,0.3224788
darrenshiroma	0.6160716,0.2781685
classysnobbb	0.94013333,0.63170815
hishamalmaghraw	1.2917068,0.21160108
garock945	0.3459605,0.26442602
cxsuals	1.1521585,-1.8917232
the_running_flo	0.33442935,1.2190977
checkspire	0.6123638,0.230301
thesaintjavier	0.34193206,0.28638962
heather10016	0.6662167,1.1879443
d3v14nc3	0.56735665,0.21988253
2morrowsfinest	1.2143321,1.5769278
schreibthomas	0.7681106,0.054301728
samweaver00	1.0260288,0.37923366
stevelong71	0.26179257,0.33457518
_niqniq	0.3921384,0.15562192
rorivera27	0.16998301,1.0872142
kristinc99	0.8495441,0.38084865
doookss	0.31048766,0.90862286
7h4n47oz	0.7045713,1.3010908
newszombies	0.90109736,0.6500369
hauwakhaleel	0.86345917,0.66606295
indaydaqueen	0.29803422,0.36429444
littletxlady	0.61189467,0.2845381
conservativewd	-0.32345903,0.4469021
bidenshairplugs	0.26157716,0.83674127
reneecarrv	1.1094563,0.4105056
jwillia2	1.2917471,0.19727437
c_bart_05	1.1579463,0.38659427
jackthejokster	1.1901822,-1.8311058
rconflictnews	0.5927778,0.3125019
theyloveebreee_	0.8141947,0.6938258
millsians	0.8226635,0.3533607
neoavatara	0.49649426,0.56627214
bigsmokey254	0.3529348,0.347798
imatouchbutts	1.2591572,-0.11484148
karmasutrx	1.070983,-1.8268491
poeticlove21	1.0854088,-1.8612995
iihustlee	0.549931,0.22111711
czaroffreedom	0.057803538,0.3593705
benlwilliamson	0.40809396,0.12714715
dr_amr_kotb_egy	1.485702,0.6154858
joeybeaumont51	1.2680095,0.17455931
rnrsouthdakota	0.028696094,0.77966005
mohop1908	0.9104859,0.59990764
datniggavegeta	1.1230353,-1.8850365
ikhras	1.1342473,0.25268653
disciarity	1.3573436,-2.377448
rt_america	0.5345074,0.30810848
rodolfoldlv	1.2789322,0.5204452
naft82	0.22108723,0.44502756
jefe_elm	0.80000436,0.6881493
newsnetnews	0.4632998,0.6449034
richiesalter	0.32535857,0.82381684
exoticdeity	1.2632358,0.1523707
sowrongitschar	0.3268287,0.1499405
trapoiogy	1.1493759,-1.9077992
barbarosa69	0.5005641,0.26623
ftp_2015	0.3538342,0.6629691
lovemesomechili	0.30602208,0.8164283
luxandrav	0.27511686,0.32903942
radiondadurto	1.2189515,0.40705886
twaz_eaton	0.3585678,0.26822054
legalizeliberty	1.4226655,0.5704196
nicholasstix	0.16298483,0.23668984
joeyjoejoejoey1	1.1822072,0.8400194
noblefacts	0.23617361,0.43972993
2phonebuddha	1.1500077,-1.8034817
junkienews_news	0.55566806,0.82589906
katclaws	0.10162408,0.6338719
jamesbham	0.33936274,0.5870684
jl_neverfail	1.2718977,0.22219877
szrti716	0.021516824,0.80935794
madibetty	0.65056294,1.1873704
joedunn8	0.16127577,-0.0591254
raryjyqulofe	0.88267565,0.544907
hfsgcfu633www	0.85750204,0.5297479
lonerlifekirk98	0.5601219,0.5891699
fredsgarden	0.2618151,0.33465397
younqniqqqajayy	0.9658499,0.07016134
porcia_bpa	0.8369165,0.3244526
brandongarcia42	0.97829366,0.07715211
latestanonnews	0.9239773,0.14443515
nintendoo_64	0.8707608,0.5342429
estertekla	0.49902686,0.89771193
just_mel_o	0.8964035,0.62443906
captainrodes	0.47873312,0.884566
xifidion	0.49167654,0.22349836
booboobear4u2	0.5580808,0.5947293
gaticalorenzo	0.85127145,0.6499053
jfitz1104	-0.22969012,0.8059471
phargus335	0.11885557,0.1541098
eric_newman23	0.6049576,0.84028983
faithfullyx0x0	0.48726085,0.87215805
gtylerthecreato	0.8433184,0.5309741
lastcombo	0.513575,0.29714352
eltxeita	0.3738287,0.3397247
scwxman	-0.513155,1.3641675
gordonlove10	0.8805096,0.6137969
monadewitt	-0.08352038,0.64796287
latinaforted	0.43305472,0.6296603
carrienyman	0.7871393,-0.0639646
mcmclish	1.0035173,0.3472201
karmenpiper	0.88405657,0.6750407
lianaasim	1.1196773,0.5539964
realdoctorwhite	0.08333857,0.2770026
teemoquinton	0.03450053,0.47695252
dlb5503	0.18002672,0.6227671
ogbwavy	1.1453334,-1.8533561
weslleylycos	0.093195245,0.6986109
jc7109	-0.055233233,0.6267432
mycetizevovo	0.82603526,0.57182926
bourassa_12	0.80858976,0.3633564
frank_cia	0.90951985,0.61339206
mymain_girl	1.230698,0.19311501
abstraknate	1.276125,0.21115506
jchaney34	0.8348173,0.36030492
chestnut_rice	0.6842404,-0.1704501
angie_b2011	0.0516343,0.5283635
jenelizapeace	0.54712486,0.8758929
mexico_rising	0.06005914,0.76476055
kevinjs1977	0.3459605,0.26442602
skunky66613	0.15533014,-0.069038704
greywolf6292	0.4725133,0.16840893
spudpilgrims	0.6794705,1.1837517
nymike2	0.39449823,0.743808
maidmaemarion	0.4062574,0.46557742
carminezozzora	0.3322101,0.5664288
bmyosu	0.19965944,0.423031
mikehogman1	0.48106265,0.8575601
thatcrispginger	0.2642418,0.30491498
beachpls82	0.8226305,0.35345817
eastcoastphotog	0.06388785,0.3411499
bagatagdotcom	0.8506119,0.6646988
j_wolf__	0.90313977,0.56771076
missb62	0.9237048,0.22038554
mountainaires	-0.056103714,0.71099126
jadajamess	1.1720383,-1.8924149
factsoverfeels	0.01786436,0.47815377
dickcostolofag	0.8504607,-0.30014116
foxyvillain1981	0.27817383,0.3570283
redbankcharlie	0.38057336,0.28160018
brian_01987	0.6833768,0.6539446
colla_walle	0.87624854,0.5591475
innocentlatre	1.176365,-1.8657238
ctomon	0.88627714,0.5805234
tigertripsthots	1.152166,-1.8917196
coggins59	0.59375215,0.8071679
badgaldridri	1.2645358,0.18618399
ryann7411	-0.5261438,1.3340317
nynewser	0.6403769,0.6393413
berribraeburn	0.5198303,0.8652042
rover7_tony	0.077681944,0.6224741
tajah_xoxo	0.8775061,0.66185945
nochili2k15	1.1991739,-1.8554449
hlc_brihvaughan	0.7966718,0.6765298
janethill21664	0.37575203,0.4445333
wideeyedwanless	-0.51710224,1.345128
politicaltalk1	0.35954067,0.4357502
strthry	1.220279,-0.064424075
filsdeflute__	1.2917163,0.21161425
forgottenprof	0.24086341,0.5866614
towersunset132	0.33552614,0.36940083
jodyterp	0.7883877,-0.091629356
rikini67	-0.11043003,0.62777656
gemy1986713	1.4015859,0.59174955
godsareforkids	0.36077985,0.4538943
yacinelass	-0.26242977,0.13065277
xomissmeena	-0.36918646,0.76814866
carlanun	0.8340288,0.40463886
zehityvopot	0.77743787,0.5807509
trillcut	-0.14695486,0.839462
_winchesterlady	0.14168951,0.6574057
meritordad	0.36879152,0.74638414
blackdiamondxlm	0.8859758,0.5806606
epicclips	1.160395,-1.8778858
maureenoboyle	0.2410214,0.042502232
xzoticandy	0.17170268,0.93644655
birminghamdoc	0.9138063,0.21101752
publimetrous	0.77930725,0.058277838
b_anders4	1.1332039,1.0880649
rockcalpean	0.5462578,0.52142984
abbeyanne03xx	0.17170265,0.9364466
mariannemonaco	0.4330549,0.6296604
ontothelex_won	1.2250726,1.6095085
_fvithxo	-0.54310805,1.3253139
roncoltsfan96	0.5388017,0.9028824
richfoeva1	0.8114,0.6809693
hunnitshadesofq	0.20905654,0.50839657
erosunique	0.116233654,0.68299025
calfreedommom	0.5562908,0.60434437
poeticpleasures	1.4021745,-2.3598776
onlinewweman	0.90817547,-0.52776384
1rachacsecurity	-0.037669893,0.5724817
one_in_herself	1.4693933,0.4324277
bob_amiir	0.61783767,0.22086063
wusa9	0.26631823,0.39195204
hapcashinin	0.0058612707,0.5061606
tomgreene2	0.08280017,0.70166516
andrewstyrah	0.885537,0.64865774
altisidora11	0.31142077,0.2770353
radiochickbrown	0.2921843,0.12355196
kindalightskin	1.1607609,-1.8785611
trishaaloo	0.9994603,0.3765071
rockymtnb5	0.8538498,0.679299
aaronodenj	0.0873068,0.6001255
_danielledavis_	0.5631152,0.8789127
semperficop	0.09233264,0.6863232
1pastorleo	1.1626459,1.0803227
jiqobecilen	0.8160534,0.54921293
kevinchavez303	0.2751114,0.32906055
bizzmacc	0.27654293,0.37314826
thenight11	0.6846443,0.076680526
lonestar_dad	0.064165615,0.77873427
jsouthnyg	0.77844507,-0.30154622
lous666	0.40214416,0.5277123
blackellewoods	1.31674,1.0194383
p_amina_c	1.1054384,1.1039627
mrshll__matters	0.8916832,0.56493556
selim_besiktas	1.2567149,0.40894037
buhochavista	0.54754037,0.40874448
parandroida	1.2332335,0.41078028
serafinos	0.08035681,0.48373464
jojopwilliams18	1.6879454,0.82179755
historianspeaks	0.6083692,0.4690029
jsnyder555	0.5382869,0.49528056
jotauzeta	1.2632434,0.15239911
sethwiseman801	0.85060567,0.6647294
heqaxexucyj	0.80146796,0.5799296
howiecarrshow	0.19237,-0.0064608096
terri_georgia	1.2454922,0.407323
peterdukephoto	0.30021816,0.86153626
_itsty	1.2916994,0.1846404
michellestellah	0.5457455,0.8354965
lordtylar	1.066593,-1.8405982
5sex_ofpizzaxx	0.21010815,0.8958354
rose_marie_holt	0.92370474,0.22038552
lbradford911	0.464241,0.94341725
slangincrack	0.86443835,-0.24278603
